Ticker,Avg_Daily_Return,Beta,Annual_Volatility,Cluster_Agglom,Label_Agglom,Cluster_KMeans,Label_KMeans
A,0.00017482933159108406,0.7991336207045566,0.2623637063916248,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AAPL,0.001099575277548379,1.0045102942728827,0.2118850774619436,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ABBV,0.0006796446670662464,0.23855374163132964,0.21610789906833847,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ABNB,0.0005203765166486859,1.5049284019724036,0.35667980907581054,0,Aggressive Growth,0,Aggressive Growth
ABT,0.00018428036481085163,0.2618822247930306,0.1798457007778441,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ACGL,0.0007954272813715315,0.42028104482788575,0.23322703416665058,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ACN,0.0008252435789074228,0.7742291647865088,0.22703409525485885,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ADBE,0.0009121877143130454,1.4165176619646809,0.3450638853882284,0,Aggressive Growth,0,Aggressive Growth
ADI,0.0006272119064459533,1.5671153437265692,0.2956327529377749,0,Aggressive Growth,0,Aggressive Growth
ADM,-0.0006128468336242213,0.47226645168201736,0.29163877133969607,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ADP,0.0009082085028173123,0.5595057416406051,0.17626877493310117,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ADSK,0.001168783828593033,1.38489083876723,0.2713223887275767,0,Aggressive Growth,0,Aggressive Growth
AEE,0.000195813301086356,0.21993775088065778,0.1932022580768208,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AEP,0.0002635543271469535,0.19983412129398065,0.19271902540629024,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AES,-0.0009166118295948993,0.9528203016556582,0.3735475651549486,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AFL,0.0012144855926619377,0.4113092445738458,0.191835841645241,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AIG,0.0010859346505335762,0.751687442989201,0.2077826631507912,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AIZ,0.0013474671056599586,0.48604766992025555,0.21850355802851593,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AJG,0.0008152949745832195,0.4099741488001101,0.17772447418329934,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AKAM,0.000662213586921061,0.7389828478983861,0.2667050043044779,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ALB,-0.001089588122085892,1.8202121933881947,0.5338137964996506,1,Defensive / Low-Risk,0,Aggressive Growth
ALGN,-0.0005203886174935882,1.6395979498113011,0.43306955557265175,1,Defensive / Low-Risk,0,Aggressive Growth
ALL,0.0014664555058670938,0.33616991379994693,0.22594019030592352,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ALLE,0.0006400279997657738,0.8857511314284232,0.22223223645981544,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AMAT,0.001221490014802112,2.0515212218193586,0.3888244736526,0,Aggressive Growth,0,Aggressive Growth
AMCR,0.00010706840701187354,0.612057816690302,0.21432607882696572,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AMD,0.0012310548379658845,2.2038778759707762,0.4677034500256609,0,Aggressive Growth,0,Aggressive Growth
AME,0.0006595197808651698,0.7705013268792891,0.19541667419137942,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AMGN,0.0005261551298200248,0.6337684750719845,0.24038652950492823,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AMP,0.0016744344357894827,0.9894548864005933,0.20950204450599605,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AMT,0.00013095317184380164,0.30845618765774235,0.2543197187714429,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AMZN,0.0019558238203826353,1.519128185042054,0.2882962798917197,0,Aggressive Growth,0,Aggressive Growth
ANET,0.0032056834243014178,1.9447516441206807,0.4327037663754098,0,Aggressive Growth,0,Aggressive Growth
AON,0.0003794675373817799,0.40632270190978265,0.19867017360719716,1,Defensive / Low-Risk,1,Defensive / Low-Risk
AOS,0.00013468301370024187,0.8526870405748785,0.23431540253087735,1,Defensive / Low-Risk,1,Defensive / Low-Risk
APA,-0.0004515279290916891,0.5489564366130624,0.3464515544560801,1,Defensive / Low-Risk,1,Defensive / Low-Risk
APD,0.0002333939090729108,0.5459490646255697,0.2705785894934133,1,Defensive / Low-Risk,1,Defensive / Low-Risk
