,Beta
MMM,0.8725285287502877
AOS,0.8526870564018015
ABT,0.26188251688859254
ABBV,0.23855457911253494
ACN,0.7742289539086902
ADBE,1.4165176619646809
AMD,2.2038778759707762
AES,0.9528196316230124
AFL,0.4113085404525944
A,0.7991338338414798
APD,0.545948656970972
ABNB,1.5049284019724036
AKAM,0.7389828478983861
ALB,1.8202113069635923
ARE,1.036218756822816
ALGN,1.6395979498113011
ALLE,0.8857505995854675
LNT,0.2664030032376402
ALL,0.33617095178872664
GOOGL,1.2490626075104592
GOOG,1.2546990361744035
MO,0.23726319290009903
AMZN,1.519128185042054
AMCR,0.6120568642982974
AEE,0.21993655274520105
AEP,0.19983388490897713
AXP,1.0845509726960276
AIG,0.7516857522257346
AMT,0.3084574390446009
AWK,0.46545164010146683
AMP,0.9894541753959469
AME,0.7705007760650519
AMGN,0.6337690125528893
APH,1.3444048261462205
ADI,1.567116113803713
AON,0.4063220432173127
APA,0.5489556562687437
APO,1.3936334094590588
AAPL,1.004509541070999
AMAT,2.0515225595551096
APP,2.27899736296367
APTV,1.231858474506891
ACGL,0.42028104482788575
ADM,0.4722675389185682
ARES,1.2556389452822994
ANET,1.9447516441206807
AJG,0.40997289531319303
AIZ,0.48604696530176333
T,0.047346920266883134
ATO,0.32809648400727925
ADSK,1.38489083876723
ADP,0.5595066065951276
AZO,0.5345851267161702
AVB,0.6253497819316577
AVY,0.7939593322275593
AXON,1.0488815732362646
BKR,0.7082717082384007
BALL,0.8527602479252381
BAC,0.9540053019356631
BAX,0.5312085763965156
BDX,0.39286099001068364
BBY,0.8329925925706745
TECH,1.0208227532078131
BIIB,0.6412940893326833
BLK,1.0028463310389766
BX,1.4926741104086096
XYZ,2.049447566356151
BK,0.7695985119714464
BA,0.7645156310030875
BKNG,1.096294980538991
BSX,0.5084724153413085
BMY,0.27296081795658944
AVGO,2.3094604746750393
BR,0.6991158705237711
BRO,0.5731393880316139
BLDR,1.7113598376763122
BG,0.346094040245265
BXP,1.3459315617774
CHRW,0.45345674686639914
CDNS,1.7022433390503826
CPT,0.6774098680103602
CPB,-0.030684922513942437
COF,1.1192732842984223
CAH,0.2255272222612241
CCL,1.8350305136844725
CARR,1.2932239092707238
CVNA,3.258963455347038
CASY,0.6767263526686679
CAT,1.2460367569660424
CBOE,-0.25322673163260895
CBRE,0.9977648266234503
CDW,0.9449752763597128
COR,0.09889470357183315
CNC,0.299075334178514
CNP,0.34929467766160055
CF,0.436905271366621
CRL,1.3680769095061522
SCHW,0.8839772845411115
CHTR,0.8904146351888216
CVX,0.4055436984806662
CMG,0.8374011580318912
CB,0.2927386223338507
CHD,0.08693525293873619
CIEN,1.3491867348003257
CI,0.27735314308204806
CINF,0.5858140295986878
CTAS,0.8435081354514437
CSCO,0.6974840286619836
C,1.0717731765873086
CFG,1.2907824055165362
CLX,0.26139709420351925
CME,0.07311390727507634
CMS,0.16913998819655646
KO,0.185054297246052
CTSH,0.8089850139171293
COHR,2.6068200009889133
COIN,3.034622601128019
CL,0.11482844651314945
CMCSA,0.6263803443394493
FIX,1.7308417810669925
CAG,0.14747661500240447
COP,0.352749234994205
ED,0.09444790167411996
STZ,0.44348302348103413
CEG,1.3392710920310475
COO,0.6349932029639128
CPRT,1.0166019163142337
GLW,0.8416738436181782
CPAY,0.9510172357707397
CTVA,0.7347159338824869
CSGP,0.9211378507457066
COST,0.8098023412874995
CTRA,0.6275371335882953
CRH,1.2338106690077435
CRWD,1.811231825167187
CCI,0.40717754714321813
CSX,0.7433797907024935
CMI,0.8135835703046536
CVS,0.45092270732710843
DHR,0.6869343047794919
DRI,0.6467624647680852
DDOG,1.6331086773746868
DVA,0.49806939936967287
DECK,1.3192798128252763
DE,0.7937223499321666
DELL,1.7541624852541973
DAL,1.2920286495770046
DVN,0.6646268824699791
DXCM,0.5984002810392749
FANG,0.4856668061169246
DLR,1.0452725429443386
DG,0.2733685745098985
DLTR,0.6131793171713439
D,0.227103745727573
DPZ,0.806200111531379
DASH,1.4053112285916254
DOV,0.9297781456933358
DOW,0.7238186744875076
DHI,0.9925853768499265
DTE,0.2526599024021656
DUK,0.16799614586444125
DD,0.789439934412028
ETN,1.4886861498769803
EBAY,0.8072015408484945
SATS,1.3517457185573691
ECL,0.6314998014859265
EIX,0.37674220421352494
EW,0.8791962060934911
EA,0.6835733779187498
ELV,0.4088193975672117
EME,1.1610169939463058
EMR,1.0647745062412188
ETR,0.19952818132157069
EOG,0.3996424261137385
EPAM,1.0678387017209845
EQT,0.7791384522965724
EFX,1.1785568899412873
EQIX,0.8861427835626992
EQR,0.633179332288651
ERIE,0.4363833309927946
ESS,0.7629138582720103
EL,1.1760410783165705
EG,0.49282108782390127
EVRG,0.2716779168708513
ES,0.30451387762569737
EXC,0.20739361285577484
EXE,0.7120056124025749
EXPE,1.2572133161771923
EXPD,0.6199350893030247
EXR,0.8094048082147379
XOM,0.2330452953475964
FFIV,0.9625642776736906
FDS,0.6921769906398935
FICO,1.1387744779597029
FAST,0.7453323684193843
FRT,0.6092340124782534
FDX,0.7822324162071661
FIS,0.7697291210683449
FITB,1.081288771041529
FSLR,1.3161484083687107
FE,0.27482674983888944
FISV,0.7324805380808704
F,1.1846377070265863
FTNT,0.9411017649832254
FTV,1.0488443674669998
FOXA,0.4618577061454469
FOX,0.4661995729580301
BEN,1.1004469071878684
FCX,1.3830758569778339
GRMN,0.7579055316013202
IT,1.106966588366061
GE,1.1689526604865645
GEHC,0.9671607062611876
GEN,0.9151915491333253
GNRC,1.5555511800255704
GD,0.5112636136256876
GIS,-0.10029013576228026
GM,1.0025744640688021
GPC,0.7633819084802316
GILD,0.32808639171329557
GPN,1.0123497242673645
GL,0.3973550591000614
GDDY,0.923273773437503
GS,1.1483230628954826
HAL,0.6973390645331744
HIG,0.4707056912777078
HAS,0.7258724705981442
HCA,0.6153174782825273
DOC,0.8300318945431041
HSIC,0.48825429191166364
HSY,0.1927318039999615
HPE,1.4288862511801177
HLT,0.9382852357910972
HD,0.8547737277818143
HON,0.7060047964918187
HRL,0.22220737296284054
HST,1.0840738977964675
HWM,1.1710798838670322
HPQ,0.9331797727045894
HUBB,1.3429607871092835
HUM,0.282926461768486
HBAN,1.1301894368432295
HII,0.7988474332642186
IBM,0.6947190784456971
IEX,0.8443796039046307
IDXX,1.2099646068632914
ITW,0.6690611842660226
INCY,0.4280037573105281
IR,1.2274590092778788
PODD,0.9529479123120973
INTC,1.9049196131825405
IBKR,0.7515800139586308
ICE,0.5963631579692223
IFF,0.7205311658361176
IP,0.4274004312701373
INTU,1.322701586617895
ISRG,1.1406258032233412
IVZ,1.3685026630000539
INVH,0.835729726090742
IQV,1.1831138713957658
IRM,0.8759740572160839
JBHT,0.9746508071826966
JBL,1.3809201424888116
JKHY,0.5266462131476733
JNJ,0.0673470298026572
JCI,1.209800629229587
JPM,0.8097011268876357
KVUE,0.44390393175889825
KDP,0.21178724138147614
KEY,1.4490277000482006
KEYS,1.38625112602841
KMB,0.14556552071982728
KIM,0.7408900886475697
KMI,0.539811098419633
KKR,1.6562615776525238
KLAC,2.1030220702397666
KHC,0.20418122706675582
KR,0.24815673160160062
LHX,0.43693614487085175
LH,0.447327165801506
LRCX,2.0643416372502936
LVS,0.9333537577535737
LDOS,0.5462361385709084
LEN,1.041132539438614
LII,1.2100123834927183
LLY,0.7954552163277229
LIN,0.5778531554597797
LYV,1.1655837235785946
LMT,0.12420527791734329
L,0.5225321091446964
LOW,0.8881763278951851
LULU,1.2017405050369354
LITE,2.3132190021593697
LYB,0.6293998598248446
